year,state,county,subgroup_type,subgroup,pctl_income_20,pctl_20_quality,pctl_income_50,pctl_50_quality,pctl_income_80,pctl_80_quality
2018,01,001,race-ethnicity,"Black, Non-Hispanic",12410.680258294446,3,36175.71168400001,3,81236.62682538464,3
2018,01,001,race-ethnicity,Hispanic,NA,3,NA,3,NA,3
2018,01,001,race-ethnicity,Other Races and Ethnicities,NA,3,NA,3,NA,3
2018,01,001,race-ethnicity,"White, Non-Hispanic",27815.818622592593,3,63544.313516116286,3,114825.17797615391,3
2018,01,001,all,All,21412.15074721772,3,55721.55199649999,3,106938.3934586,3
2018,01,003,race-ethnicity,"Black, Non-Hispanic",12635.708299549495,1,31017.897235930435,1,67269.78854968888,1
2018,01,003,race-ethnicity,Hispanic,12646.335170227692,3,35268.93019641818,3,82557.24790491437,3
2018,01,003,race-ethnicity,Other Races and Ethnicities,32128.364058333333,3,41529.193036799996,3,104688.46273730232,3
2018,01,003,race-ethnicity,"White, Non-Hispanic",25528.291833068855,1,59082.84582182018,1,117007.35884085004,1
2018,01,003,all,All,24101.649555952943,1,55284.79834316883,1,112423.2423571795,1
2018,01,005,race-ethnicity,"Black, Non-Hispanic",9543.087812,3,25906.079935588234,3,59310.48074197498,3
2018,01,005,race-ethnicity,Hispanic,NA,3,NA,3,NA,3
2018,01,005,race-ethnicity,Other Races and Ethnicities,NA,3,NA,3,NA,3
2018,01,005,race-ethnicity,"White, Non-Hispanic",20741.61907952727,3,47861.655049999994,3,92388.79201024,3
2018,01,005,all,All,13259.487343436065,3,36973.83610397561,3,78184.59651190005,3
2018,01,007,race-ethnicity,"Black, Non-Hispanic",9116.312748182243,3,21905.408466666668,3,49132.227776500054,3
2018,01,007,race-ethnicity,Hispanic,NA,3,NA,3,NA,3
2018,01,007,race-ethnicity,Other Races and Ethnicities,NA,3,NA,3,NA,3
2018,01,007,race-ethnicity,"White, Non-Hispanic",20071.103525000002,3,50820.081039939396,3,99224.11234246957,3
2018,01,007,all,All,10696.7484257328,3,29975.267562686568,3,74159.42139136003,3
2018,01,009,race-ethnicity,"Black, Non-Hispanic",25756.48041375493,3,48062.26170443181,3,83409.0158128,3
2018,01,009,race-ethnicity,Hispanic,NA,3,NA,3,NA,3
2018,01,009,race-ethnicity,Other Races and Ethnicities,NA,3,NA,3,NA,3
2018,01,009,race-ethnicity,"White, Non-Hispanic",22199.025544193548,2,53494.05755276243,2,97234.7004524857,2
2018,01,009,all,All,21914.74836008667,2,52619.862673777774,2,95932.1174242913,2
2018,01,011,race-ethnicity,"Black, Non-Hispanic",9543.087812000002,3,25906.079935588234,3,59310.48074197502,3
2018,01,011,race-ethnicity,Hispanic,NA,3,NA,3,NA,3
2018,01,011,race-ethnicity,Other Races and Ethnicities,NA,3,NA,3,NA,3
2018,01,011,race-ethnicity,"White, Non-Hispanic",20741.619079527278,3,47861.65505,3,92388.79201024001,3
2018,01,011,all,All,13259.487343436065,3,36973.83610397561,3,78184.59651190003,3
2018,01,013,race-ethnicity,"Black, Non-Hispanic",10183.99689207547,3,29145.757136375,3,58029.233847588235,3
2018,01,013,race-ethnicity,Hispanic,NA,3,NA,3,NA,3
2018,01,013,race-ethnicity,Other Races and Ethnicities,NA,3,NA,3,NA,3
2018,01,013,race-ethnicity,"White, Non-Hispanic",21347.2757141875,3,51020.93578327272,3,101380.58305920001,3
2018,01,013,all,All,17920.70162177778,3,45541.3850707907,3,95103.30065344185,3
2018,01,015,race-ethnicity,"Black, Non-Hispanic",11878.919361066668,1,29346.25203076923,1,66906.52810875002,1
2018,01,015,race-ethnicity,Hispanic,25439.69068591739,3,41209.58124733333,3,101429.471662656,3
2018,01,015,race-ethnicity,Other Races and Ethnicities,15867.800612000001,3,33725.4254696,3,62213.97905454548,3
2018,01,015,race-ethnicity,"White, Non-Hispanic",21749.980706550003,1,53057.45072201204,1,99599.91402117172,1
2018,01,015,all,All,17720.62010742857,1,45445.39948652778,1,91658.89065916925,1
2018,01,017,race-ethnicity,"Black, Non-Hispanic",12666.864198686566,3,27966.100970658226,3,59644.50732388571,3
2018,01,017,race-ethnicity,Hispanic,NA,3,NA,3,NA,3
2018,01,017,race-ethnicity,Other Races and Ethnicities,NA,3,NA,3,NA,3
2018,01,017,race-ethnicity,"White, Non-Hispanic",19462.71202968,3,50567.118632800004,3,94317.41471799999,3
2018,01,017,all,All,16772.701888459156,3,42837.735371813724,3,84622.90694892858,3
2018,01,019,race-ethnicity,"Black, Non-Hispanic",13193.997992999994,3,30729.710828999996,3,62135.14554985,3
2018,01,019,race-ethnicity,Hispanic,NA,3,NA,3,NA,3
2018,01,019,race-ethnicity,Other Races and Ethnicities,NA,3,NA,3,NA,3
2018,01,019,race-ethnicity,"White, Non-Hispanic",19744.86131483871,3,44876.882309999986,3,84646.76038702633,3
2018,01,019,all,All,17365.753664846154,3,41111.65776128205,3,78466.93824702856,3
2018,01,021,race-ethnicity,"Black, Non-Hispanic",12666.864198686566,3,27966.100970658226,3,59644.50732388573,3
2018,01,021,race-ethnicity,Hispanic,NA,3,NA,3,NA,3
2018,01,021,race-ethnicity,Other Races and Ethnicities,NA,3,NA,3,NA,3
2018,01,021,race-ethnicity,"White, Non-Hispanic",19462.712029680002,3,50567.118632800004,3,94317.41471800001,3
2018,01,021,all,All,16772.701888459156,3,42837.735371813724,3,84622.90694892858,3
2018,01,023,race-ethnicity,"Black, Non-Hispanic",9523.582887857143,3,23360.431276875002,3,53295.62732824001,3
2018,01,023,race-ethnicity,Hispanic,NA,3,NA,3,NA,3
2018,01,023,race-ethnicity,Other Races and Ethnicities,NA,3,NA,3,NA,3
2018,01,023,race-ethnicity,"White, Non-Hispanic",17233.314669450003,3,44500.29142034285,3,90115.32160446666,3
2018,01,023,all,All,12554.055648561905,3,34775.23796554802,3,75936.45900161752,3
2018,01,025,race-ethnicity,"Black, Non-Hispanic",9523.582887857143,3,23360.431276875002,3,53295.62732824001,3
2018,01,025,race-ethnicity,Hispanic,NA,3,NA,3,NA,3
2018,01,025,race-ethnicity,Other Races and Ethnicities,NA,3,NA,3,NA,3
2018,01,025,race-ethnicity,"White, Non-Hispanic",17233.314669450003,3,44500.29142034286,3,90115.32160446666,3
2018,01,025,all,All,12554.055648561905,3,34775.23796554802,3,75936.45900161752,3
2018,01,027,race-ethnicity,"Black, Non-Hispanic",13193.997993000003,3,30729.710829,3,62135.14554985001,3
2018,01,027,race-ethnicity,Hispanic,NA,3,NA,3,NA,3
2018,01,027,race-ethnicity,Other Races and Ethnicities,NA,3,NA,3,NA,3
2018,01,027,race-ethnicity,"White, Non-Hispanic",19744.861314838712,3,44876.882310000015,3,84646.76038702633,3
2018,01,027,all,All,17365.753664846154,3,41111.65776128206,3,78466.93824702862,3
2018,01,029,race-ethnicity,"Black, Non-Hispanic",13193.997993000003,3,30729.710828999996,3,62135.14554985001,3
2018,01,029,race-ethnicity,Hispanic,NA,3,NA,3,NA,3
2018,01,029,race-ethnicity,Other Races and Ethnicities,NA,3,NA,3,NA,3
2018,01,029,race-ethnicity,"White, Non-Hispanic",19744.86131483871,3,44876.882309999986,3,84646.76038702633,3
2018,01,029,all,All,17365.753664846154,3,41111.65776128205,3,78466.93824702862,3
2018,01,031,race-ethnicity,"Black, Non-Hispanic",10183.99689207547,2,29145.757136375,2,58029.233847588235,2
2018,01,031,race-ethnicity,Hispanic,23538.46449165715,3,64876.064041982456,3,101211.68694870001,3
2018,01,031,race-ethnicity,Other Races and Ethnicities,14790.69323899355,3,37699.48836363637,3,94317.93485862,3
2018,01,031,race-ethnicity,"White, Non-Hispanic",21347.2757141875,2,51020.93578327272,2,101380.58305920004,2
2018,01,031,all,All,17920.70162177778,2,45541.3850707907,2,95103.30065344185,2
2018,01,033,race-ethnicity,"Black, Non-Hispanic",12924.498201153847,3,29708.407238470587,3,62119.30464236842,3
2018,01,033,race-ethnicity,Hispanic,NA,3,NA,3,NA,3
2018,01,033,race-ethnicity,Other Races and Ethnicities,NA,3,NA,3,NA,3
2018,01,033,race-ethnicity,"White, Non-Hispanic",20064.9281578,3,46722.471478461564,3,90201.73537408833,3
2018,01,033,all,All,18143.310177521053,3,44176.869121128206,3,88046.12642862221,3
2018,01,035,race-ethnicity,"Black, Non-Hispanic",9523.582887857143,3,23360.43127687499,3,53295.62732824001,3
2018,01,035,race-ethnicity,Hispanic,NA,3,NA,3,NA,3
2018,01,035,race-ethnicity,Other Races and Ethnicities,NA,3,NA,3,NA,3
2018,01,035,race-ethnicity,"White, Non-Hispanic",17233.31466945,3,44500.29142034285,3,90115.32160446666,3
2018,01,035,all,All,12554.055648561905,3,34775.23796554802,3,75936.45900161752,3
2018,01,037,race-ethnicity,"Black, Non-Hispanic",12666.864198686568,3,27966.100970658226,3,59644.50732388571,3
2018,01,037,race-ethnicity,Hispanic,NA,3,NA,3,NA,3
2018,01,037,race-ethnicity,Other Races and Ethnicities,NA,3,NA,3,NA,3
2018,01,037,race-ethnicity,"White, Non-Hispanic",19462.712029680002,3,50567.118632800004,3,94317.41471800001,3
2018,01,037,all,All,16772.701888459156,3,42837.735371813724,3,84622.90694892858,3
2018,01,039,race-ethnicity,"Black, Non-Hispanic",10183.99689207547,3,29145.757136375,3,58029.23384758825,3
2018,01,039,race-ethnicity,Hispanic,NA,3,NA,3,NA,3
2018,01,039,race-ethnicity,Other Races and Ethnicities,NA,3,NA,3,NA,3
2018,01,039,race-ethnicity,"White, Non-Hispanic",21347.2757141875,3,51020.93578327272,3,101380.5830592,3
2018,01,039,all,All,17920.70162177778,3,45541.3850707907,3,95103.30065344187,3
