year,state,place,subgroup,share_meps20,share_meps20_quality
2020,1,3076,Other Races and Ethnicities,0,1
2016,1,77256,"White, Non-Hispanic",11.927112,1
2020,1,77256,Other Races and Ethnicities,28.827038,1
2019,1,77256,Hispanic,61.611374,1
2017,1,35896,Other Races and Ethnicities,0,1
2016,1,50000,Other Races and Ethnicities,65.406075,1
2020,1,77256,"White, Non-Hispanic",9.1732397,1
2017,1,77256,All,45.256851,1
2016,1,50000,"Black, Non-Hispanic",80.538864,1
2018,1,50000,Other Races and Ethnicities,65.742928,1
2016,1,51000,Other Races and Ethnicities,22.894169,1
2016,1,50000,Hispanic,64.66346,1
2018,1,51000,All,73.393021,1
2018,1,3076,Hispanic,0,1
2018,1,50000,"White, Non-Hispanic",51.477467,1
2018,1,37000,Hispanic,50.092766,1
2017,1,37000,"Black, Non-Hispanic",54.46133,1
2017,1,50000,Hispanic,57.890743,1
2016,1,7000,Other Races and Ethnicities,45.095543,1
2019,1,77256,Other Races and Ethnicities,23.127754,1
2020,1,77256,All,43.470222,1
2017,1,77256,"Black, Non-Hispanic",62.330769,1
2018,1,35896,"Black, Non-Hispanic",0,1
2020,1,51000,Hispanic,89.190475,1
2017,1,7000,Other Races and Ethnicities,43.810848,1
2016,1,51000,"Black, Non-Hispanic",82.856277,1
2016,1,35896,"White, Non-Hispanic",0,1
2016,1,35896,Other Races and Ethnicities,0,1
2017,1,35896,"Black, Non-Hispanic",0,1
2018,1,37000,Other Races and Ethnicities,26.688364,1
2017,1,7000,"Black, Non-Hispanic",92.705803,1
2020,1,35896,"White, Non-Hispanic",0,1
2020,1,50000,Other Races and Ethnicities,42.743763,1
2016,1,3076,All,0,1
2019,1,50000,Hispanic,57.044456,1
2018,1,77256,All,43.576416,1
2020,1,51000,Other Races and Ethnicities,33.808933,1
2016,1,35896,All,0,1
2017,1,50000,"White, Non-Hispanic",46.818726,1
2018,1,37000,"White, Non-Hispanic",11.735256,1
2020,1,3076,All,0,1
2017,1,7000,"White, Non-Hispanic",12.389924,1
2019,1,3076,All,0,1
2016,1,35896,"Black, Non-Hispanic",0,1
2020,1,37000,"Black, Non-Hispanic",45.612091,1
2018,1,51000,Other Races and Ethnicities,16.874027,1
2017,1,37000,"White, Non-Hispanic",11.967981,1
2019,1,7000,Other Races and Ethnicities,43.724697,1
2017,1,50000,All,65.69722,1
2016,1,37000,All,34.356953,1
2018,1,7000,Other Races and Ethnicities,46.858639,1
2018,1,77256,"Black, Non-Hispanic",62.544266,1
2018,1,7000,"Black, Non-Hispanic",92.304871,1
2019,1,37000,"White, Non-Hispanic",9.379324,1
2019,1,37000,"Black, Non-Hispanic",49.056225,1
2019,1,3076,"Black, Non-Hispanic",0,1
2019,1,7000,All,77.471169,1
2019,1,7000,"White, Non-Hispanic",11.306257,1
2020,1,37000,All,28.973019,1
2016,1,77256,Hispanic,66.728279,1
2018,1,35896,Other Races and Ethnicities,0,1
2017,1,35896,"White, Non-Hispanic",0,1
2020,1,7000,"White, Non-Hispanic",11.699534,1
2016,1,50000,"White, Non-Hispanic",54.125935,1
2017,1,50000,"Black, Non-Hispanic",74.820686,1
2016,1,7000,"Black, Non-Hispanic",92.518166,1
2017,1,3076,Hispanic,0,1
2018,1,35896,All,0,1
2020,1,51000,All,74.279922,1
2017,1,51000,"White, Non-Hispanic",40.445618,1
2018,1,7000,All,78.350899,1
2016,1,37000,Other Races and Ethnicities,25.315355,1
2020,1,3076,"Black, Non-Hispanic",0,1
2020,1,50000,Hispanic,52.654057,1
2017,1,51000,Other Races and Ethnicities,19.868996,1
2020,1,51000,"White, Non-Hispanic",39.584316,1
2020,1,35896,All,0,1
2019,1,51000,"Black, Non-Hispanic",79.365646,1
2017,1,35896,Hispanic,0,1
2016,1,3076,"Black, Non-Hispanic",0,1
2020,1,77256,"Black, Non-Hispanic",57.958611,1
2018,1,50000,"Black, Non-Hispanic",81.642746,1
2016,1,7000,"White, Non-Hispanic",12.218045,1
2020,1,77256,Hispanic,59.941944,1
2020,1,50000,"Black, Non-Hispanic",71.121048,1
2019,1,7000,"Black, Non-Hispanic",91.519035,1
2020,1,7000,Other Races and Ethnicities,45.670391,1
2019,1,35896,Hispanic,0,1
2016,1,51000,All,76.690681,1
2016,1,37000,"White, Non-Hispanic",12.038446,1
2018,1,77256,Other Races and Ethnicities,23.469387,1
2018,1,77256,"White, Non-Hispanic",9.9255581,1
2018,1,50000,All,72.054573,1
2017,1,51000,"Black, Non-Hispanic",81.470116,1
2019,1,50000,All,60.883572,1
2017,1,35896,All,0,1
2017,1,7000,All,78.684715,1
2020,1,51000,"Black, Non-Hispanic",79.203926,1
2019,1,37000,Other Races and Ethnicities,24.948708,1
2019,1,37000,Hispanic,47.260273,1
2019,1,50000,"White, Non-Hispanic",39.338993,1
2017,1,77256,"White, Non-Hispanic",9.2471361,1
2016,1,51000,Hispanic,89.189186,1
2020,1,35896,Hispanic,0,1
2016,1,77256,All,47.968826,1
2017,1,3076,"Black, Non-Hispanic",0,1
2020,1,37000,Hispanic,45.512291,1
2019,1,77256,All,43.769138,1
2019,1,35896,All,0,1
2019,1,35896,"White, Non-Hispanic",0,1
2019,1,50000,"Black, Non-Hispanic",71.696365,1
2017,1,77256,Hispanic,65.510948,1
2017,1,77256,Other Races and Ethnicities,27.62557,1
2018,1,51000,"White, Non-Hispanic",36.781609,1
2018,1,7000,"White, Non-Hispanic",12.41453,1
2020,1,3076,"White, Non-Hispanic",0,1
2020,1,35896,"Black, Non-Hispanic",0,1
2020,1,7000,Hispanic,74.331734,1
2016,1,37000,"Black, Non-Hispanic",54.585026,1
2019,1,77256,"Black, Non-Hispanic",59.253731,1
2018,1,35896,Hispanic,0,1
2016,1,7000,Hispanic,68.657295,1
2019,1,3076,"White, Non-Hispanic",0,1
2020,1,37000,"White, Non-Hispanic",7.857657,1
2016,1,3076,Other Races and Ethnicities,0,1
