year,state,place,share_meps20_black,share_meps20_black_quality,share_meps20_hispanic,share_meps20_hispanic_quality,share_meps20_white,share_meps20_white_quality
2020,01,03076,0,1,0,1,0,1
2020,01,07000,.9221096,1,.75017136,1,.14491469,1
2020,01,35896,0,1,0,1,0,1
2020,01,37000,.46156171,1,.46037006,1,.10943124,1
2020,01,50000,.72349733,1,.5295912,1,.36907241,1
2020,01,51000,.79203928,1,.89190477,1,.39584318,1
2020,01,77256,.57958609,1,.59941947,1,.091732398,1
2020,02,03000,.3159627,1,.19412725,1,.054351054,1
2020,04,04720,.10320285,1,.12082951,1,.06599208,1
2020,04,07940,.20165975,1,.18658777,1,.22229289,1
2020,04,12000,.17058824,1,.19648318,1,.21084231,1
2020,04,23620,.15555556,1,.16301461,1,.14934823,1
2020,04,27400,.22181818,1,.10421355,1,.14336139,1
2020,04,27820,.35043305,1,.29743859,1,.12602323,1
2020,04,28380,.21783981,1,.16005524,1,.18140411,1
2020,04,46000,.31730521,1,.22480707,1,.19042207,1
2020,04,54050,.24313463,1,.25909752,1,.16894042,1
2020,04,55000,.47012165,1,.50560957,1,.24394417,1
2020,04,65000,.27928773,1,.24371374,1,.20251456,1
2020,04,71510,.16813602,1,.15868121,1,.066966668,1
2020,04,73000,.37487471,1,.3123053,1,.40526259,1
2020,04,77000,.55544746,1,.53497165,1,.28068471,1
2020,04,85540,.29745042,1,.29242781,1,.14602774,1
2020,05,23290,.12673268,1,.097993828,1,.088520847,1
2020,05,24550,.70417196,1,.82726902,1,.40443313,1
2020,05,35710,.87243462,1,.80557442,1,.39755553,1
2020,05,41000,.66700965,1,.71677047,1,.36235219,1
2020,05,66080,.65631068,1,.77131134,1,.49282297,1
2020,06,00562,0,1,0,1,0,1
2020,06,00884,0,1,0,1,0,1
2020,06,02000,.26687434,1,.3885479,1,.11481261,1
2020,06,02252,.24560061,1,.29108727,1,.15828878,1
2020,06,02364,.41363636,1,.28748974,1,.16535908,1
2020,06,03526,.59296089,1,.58874285,1,.30856836,1
2020,06,04982,.13253012,1,.12014652,1,.29223743,1
2020,06,06000,0,1,0,1,0,1
2020,06,08786,.076363638,1,.087234408,1,.01345895,1
2020,06,08954,0,1,0,1,0,1
2020,06,11194,0,1,0,1,0,1
2020,06,11530,.066690832,1,.14990832,1,.071052633,1
2020,06,13014,.05704698,1,.043096568,1,.022395773,1
2020,06,13210,.011820331,1,.042680182,1,.0078515345,1
2020,06,13214,0,1,0,1,0,1
2020,06,13392,.21905246,1,.25349179,1,.23920152,1
2020,06,13588,0,1,0,1,0,1
2020,06,14218,.092261903,1,.087126262,1,.047117796,1
2020,06,15044,1,1,1,1,1,1
2020,06,16000,.033868093,1,.060249306,1,.0044177976,1
2020,06,16350,.014810045,1,.079636559,1,.0057543861,1
2020,06,16532,.047904193,1,.12987784,1,.0092284977,1
2020,06,17918,0,1,0,1,0,1
2020,06,19766,0,1,0,1,0,1
2020,06,21712,.46015424,1,.28738168,1,.23161368,1
2020,06,22020,0,1,0,1,0,1
2020,06,22230,.60000002,1,.76503783,1,.43103448,1
2020,06,22804,.16052061,1,.29682893,1,.031471632,1
2020,06,23182,.15274803,1,.21654396,1,.048932847,1
2020,06,24638,0,1,0,1,0,1
2020,06,24680,.16418496,1,.27223793,1,.21841371,1
